//indeks;reputacja(ludz,krasn,elfy,niz);zloto;exp;nazwaGrupyzKtorejLosowy;konkretnyItem

//Nagrody przy expieniu (no reputejszyn) - tylko zloto, exp i ew. miksturki

//przeciwnicy poziom 1

1;0,0,0,0;0;200;;
2;0,0,0,0;0;300;;
3;0,0,0,0;1;200;;
4;0,0,0,0;1;300;;
5;0,0,0,0;2;200;;
6;0,0,0,0;2;300;;
7;0,0,0,0;3;200;;
8;0,0,0,0;3;300;;
9;0,0,0,0;4;200;;
8;0,0,0,0;4;300;;
10;0,0,0,0;0;200;;1
11;0,0,0,0;0;300;;1
12;0,0,0,0;1;200;;1
13;0,0,0,0;1;300;;1
14;0,0,0,0;2;200;;1
15;0,0,0,0;2;300;;1
16;0,0,0,0;3;200;;1
17;0,0,0,0;3;300;;1
18;0,0,0,0;4;200;;1
19;0,0,0,0;4;300;;1
20;0,0,0,0;0;200;;2
21;0,0,0,0;0;300;;2
22;0,0,0,0;1;200;;2
23;0,0,0,0;1;300;;2
24;0,0,0,0;2;200;;2
25;0,0,0,0;2;300;;2
26;0,0,0,0;3;200;;2
27;0,0,0,0;3;300;;2
28;0,0,0,0;4;200;;2
29;0,0,0,0;4;300;;2

//przeciwnicy poziom 2

30;0,0,0,0;0;400;;
31;0,0,0,0;1;400;;
32;0,0,0,0;2;400;;
33;0,0,0,0;3;400;;
34;0,0,0,0;4;400;;
35;0,0,0,0;5;200;;
36;0,0,0,0;5;300;;
37;0,0,0,0;5;400;;
38;0,0,0,0;6;200;;
39;0,0,0,0;6;300;;
40;0,0,0,0;6;400;;
41;0,0,0,0;0;400;;1
42;0,0,0,0;1;400;;1
43;0,0,0,0;2;400;;1
44;0,0,0,0;3;400;;1
45;0,0,0,0;4;400;;1
46;0,0,0,0;5;200;;1
47;0,0,0,0;5;300;;1
48;0,0,0,0;5;400;;1
49;0,0,0,0;6;200;;1
50;0,0,0,0;6;300;;1
51;0,0,0,0;6;400;;1
52;0,0,0,0;0;400;;2
53;0,0,0,0;1;400;;2
54;0,0,0,0;2;400;;2
55;0,0,0,0;3;400;;2
56;0,0,0,0;4;400;;2
57;0,0,0,0;5;200;;2
58;0,0,0,0;5;300;;2
59;0,0,0,0;5;400;;2
60;0,0,0,0;6;200;;2
61;0,0,0,0;6;300;;2
62;0,0,0,0;6;400;;2

//przeciwnicy poziom 3

63;0,0,0,0;7;300;;
64;0,0,0,0;7;400;;
65;0,0,0,0;8;300;;
66;0,0,0,0;8;400;;
67;0,0,0,0;7;300;;1
68;0,0,0,0;7;400;;1
69;0,0,0,0;8;300;;1
70;0,0,0,0;8;400;;1
71;0,0,0,0;7;300;;2
72;0,0,0,0;7;400;;2
73;0,0,0,0;8;300;;2
74;0,0,0,0;8;400;;2

//przeciwnicy poziom 4


75;0,0,0,0;6;500;;
76;0,0,0,0;7;500;;
77;0,0,0,0;8;500;;
78;0,0,0,0;9;300;;
79;0,0,0,0;9;400;;
80;0,0,0,0;9;500;;
81;0,0,0,0;10;300;;
82;0,0,0,0;10;400;;
83;0,0,0,0;10;500;;
84;0,0,0,0;6;500;;1
85;0,0,0,0;7;500;;1
86;0,0,0,0;8;500;;1
87;0,0,0,0;9;300;;1
88;0,0,0,0;9;400;;1
89;0,0,0,0;9;500;;1
90;0,0,0,0;10;300;;1
91;0,0,0,0;10;400;;1
92;0,0,0,0;10;500;;1
93;0,0,0,0;6;500;;2
94;0,0,0,0;7;500;;2
95;0,0,0,0;8;500;;2
96;0,0,0,0;9;300;;2
97;0,0,0,0;9;400;;2
98;0,0,0,0;9;500;;2
99;0,0,0,0;10;300;;2
100;0,0,0,0;10;400;;2
101;0,0,0,0;10;500;;2

//przeciwnicy poziom 5

102;0,0,0,0;11;400;;
103;0,0,0,0;12;500;;
104;0,0,0,0;11;400;;
105;0,0,0,0;12;500;;
106;0,0,0,0;11;400;;1
107;0,0,0,0;12;500;;1
108;0,0,0,0;11;400;;1
109;0,0,0,0;12;500;;1
110;0,0,0,0;11;400;;2
111;0,0,0,0;12;500;;2
112;0,0,0,0;11;400;;2
113;0,0,0,0;12;500;;2

//nagrody nietypowe (z poza <spoza? zpoza? zza woza?> zakresu) oraz do questow. Wklejac z powyzszych dodajac reputacje
